n,dft_ms,fft_ms
8,0.0054,0.0073333999999999995
16,0.019508400000000002,0.006633
32,0.07338320000000001,0.0146418
64,0.2789084,0.032274800000000006
128,0.9431,0.0597418
256,2.9660168000000002,0.1036082
512,8.026533,0.15267500000000003
1024,24.2830334,0.25697539999999996
2048,95.7309748,0.5495416000000001
4096,382.8862334,1.2041332
8192,1545.877975,2.6307831999999998
16384,6385.7291914,5.751008199999999
32768,25867.8788664,12.652350000000002
65536,105524.0508836,27.025424999999995
